road_name,room_count,house_type,mt_sq,constr_year,discount,price,postal_code,price_mt_sq,date,sale_type
Bakkevænget 13,3,Sommerhus,52,1967,-0.2,438e3,4500 Nykøbing Sj,8423,2016-10-20,Alm. Salg
Vestervangsvej 8,3,Sommerhus,81,1979,-0.03,135e4,4500 Nykøbing Sj,16666,2016-10-20,Alm. Salg
Skærbyholmsvej 10,3,Sommerhus,54,1940,0,895e3,4500 Nykøbing Sj,16574,2016-10-20,Alm. Salg
Oddenvej 133,3,Sommerhus,40,1957,NA,15e4,4500 Nykøbing Sj,3750,2016-10-18,Fam. Salg
Drosselholm Engvej 28,3,Sommerhus,42,1957,NA,113450,4500 Nykøbing Sj,2701,2016-10-18,Fam. Salg
Nyrup Huse 16,4,Sommerhus,74,1969,NA,3e5,4500 Nykøbing Sj,4054,2016-10-18,Fam. Salg
Solbærstien 3,4,Sommerhus,49,1943,NA,6e5,4500 Nykøbing Sj,12244,2016-10-17,Fam. Salg
Kirchheinersvej 72,3,Sommerhus,68,1917,-0.12,37e5,4500 Nykøbing Sj,54411,2016-10-17,Alm. Salg
Bøsserup Høj 8,4,Sommerhus,87,2005,NA,115e4,4500 Nykøbing Sj,13218,2016-10-14,Alm. Salg
Ådalen 3,4,Sommerhus,107,2013,-0.09,1143500,4500 Nykøbing Sj,10686,2016-10-14,Alm. Salg
Skovduevej 33,3,Sommerhus,50,1943,NA,646e3,4500 Nykøbing Sj,12920,2016-10-12,Fam. Salg
Hvidtjørnevej 4,2,Sommerhus,48,1955,-0.08,825e3,4500 Nykøbing Sj,17187,2016-10-12,Alm. Salg
Snedkerkrogen 16,4,Sommerhus,59,1977,-0.11,115e4,4500 Nykøbing Sj,19491,2016-10-11,Alm. Salg
Jagtvej 4,4,Sommerhus,95,1961,NA,531500,4500 Nykøbing Sj,5594,2016-10-10,Fam. Salg
Pærestien 2,4,Sommerhus,68,1978,-0.07,835e3,4500 Nykøbing Sj,12279,2016-10-10,Alm. Salg
Pilevej 21,4,Sommerhus,71,1969,NA,212500,4500 Nykøbing Sj,2992,2016-10-07,Fam. Salg
Holst Skovvej 14,3,Sommerhus,37,1960,NA,2e5,4500 Nykøbing Sj,5405,2016-10-07,Fam. Salg
Brisevej 9A,3,Sommerhus,50,1981,-0.21,785e3,4500 Nykøbing Sj,15700,2016-10-06,Alm. Salg
Skærbyvangen 18,4,Sommerhus,90,2017,NA,35e4,4500 Nykøbing Sj,3888,2016-10-06,Alm. Salg
Lærkeengen 2,3,Sommerhus,58,1974,-0.62,3e5,4500 Nykøbing Sj,5172,2016-10-06,Alm. Salg
Vibeengen 6,5,Sommerhus,97,2007,-0.07,259e4,4500 Nykøbing Sj,26701,2016-10-04,Alm. Salg
Enebærvej 57,4,Sommerhus,66,1960,NA,19e5,4500 Nykøbing Sj,28787,2016-10-04,Alm. Salg
Pilevangsvej 13,4,Sommerhus,88,1970,NA,3e5,4500 Nykøbing Sj,3409,2016-10-03,Alm. Salg
Urtevej 4,3,Sommerhus,53,1972,-0.05,95e4,4500 Nykøbing Sj,17924,2016-10-01,Alm. Salg
Vestervangsvej 8,3,Sommerhus,81,1979,-0.75,35e4,4500 Nykøbing Sj,4320,2016-09-27,Alm. Salg
Tjørneholmvej 12,3,Sommerhus,63,1966,-0.1,7e5,4500 Nykøbing Sj,11111,2016-09-26,Alm. Salg
Fasanengen 18,3,Sommerhus,97,1973,-0.21,47e4,4500 Nykøbing Sj,4845,2016-09-26,Alm. Salg
Skærbyhøjvej 5,3,Sommerhus,80,1996,NA,1062500,4500 Nykøbing Sj,13281,2016-09-24,Fam. Salg
Koglevej 15,4,Sommerhus,66,1950,NA,35e4,4500 Nykøbing Sj,5303,2016-09-21,Fam. Salg
Hybenvej 13,5,Sommerhus,45,1942,NA,561e3,4500 Nykøbing Sj,12466,2016-09-21,Fam. Salg
Birkekrogen 10C,3,Sommerhus,84,1973,-0.03,965e3,4500 Nykøbing Sj,11488,2016-09-19,Alm. Salg
Tornbjergvej 17,4,Sommerhus,68,1970,NA,9e5,4500 Nykøbing Sj,13235,2016-09-17,Alm. Salg
Klintebjergvej 22,5,Sommerhus,67,1962,-0.03,77e4,4500 Nykøbing Sj,11492,2016-09-17,Alm. Salg
Ørnæsvej 19,5,Sommerhus,122,2003,-0.16,505e4,4500 Nykøbing Sj,41393,2016-09-17,Alm. Salg
Søvænget 25,3,Sommerhus,65,1968,-0.01,685e3,4500 Nykøbing Sj,10538,2016-09-15,Alm. Salg
Dyrehøj Strandvej 5,4,Sommerhus,90,1962,NA,401e4,4500 Nykøbing Sj,44555,2016-09-14,Alm. Salg
Damengen 30,4,Sommerhus,96,2010,-0.03,126e4,4500 Nykøbing Sj,13125,2016-09-09,Alm. Salg
Odderstien 3,3,Sommerhus,49,1971,-0.11,85e4,4500 Nykøbing Sj,17346,2016-09-09,Alm. Salg
Englandsbakken 13,3,Sommerhus,87,1980,-0.06,16e5,4500 Nykøbing Sj,18390,2016-09-07,Alm. Salg
Musvitvej 6,4,Sommerhus,89,2007,-0.08,1475e3,4500 Nykøbing Sj,16573,2016-09-05,Alm. Salg
Drosselholm Skovvej 23,3,Sommerhus,50,1969,NA,5e5,4500 Nykøbing Sj,1e4,2016-09-05,Alm. Salg
Bæverstien 4,3,Sommerhus,61,1976,-0.07,915e3,4500 Nykøbing Sj,15e3,2016-09-05,Alm. Salg
Jakobsvænge 3,5,Sommerhus,51,1954,-0.08,6e5,4500 Nykøbing Sj,11764,2016-09-04,Alm. Salg
Enggårdsvej 23,5,Sommerhus,61,1982,-0.02,775500,4500 Nykøbing Sj,12713,2016-09-02,Alm. Salg
Brombærvej 16,4,Sommerhus,80,1967,-0.06,1125e3,4500 Nykøbing Sj,14062,2016-09-01,Alm. Salg
Lumsås Strandvej 8,4,Sommerhus,95,1940,-0.14,945e3,4500 Nykøbing Sj,9947,2016-09-01,Alm. Salg
Sleipnersvej 17,3,Sommerhus,99,2017,0.08,7e5,4500 Nykøbing Sj,7070,2016-09-01,Alm. Salg
Kokkevang 4,3,Sommerhus,76,1965,-0.09,635e3,4500 Nykøbing Sj,8355,2016-09-01,Alm. Salg
Enebærvej 49,4,Sommerhus,60,1965,-0.11,1425e3,4500 Nykøbing Sj,23750,2016-08-31,Alm. Salg
Nørredalen 3,4,Sommerhus,50,1972,NA,4e5,4500 Nykøbing Sj,8e3,2016-08-30,Alm. Salg
Ydonsvej 1,2,Sommerhus,27,1990,NA,52e4,4500 Nykøbing Sj,19259,2016-08-28,Alm. Salg
Vindingsvej 22,4,Sommerhus,73,1998,NA,13e5,4500 Nykøbing Sj,17808,2016-08-28,Alm. Salg
Græshoppestien 3,4,Sommerhus,92,2014,NA,14e5,4500 Nykøbing Sj,15217,2016-08-26,Alm. Salg
Provisorvej 1,5,Sommerhus,45,1960,NA,276600,4500 Nykøbing Sj,6146,2016-08-25,Auktion
Platanvej 4,6,Sommerhus,104,1975,0.02,138e4,4500 Nykøbing Sj,13269,2016-08-25,Alm. Salg
Strandmosevej 11,3,Sommerhus,35,1964,NA,3e5,4500 Nykøbing Sj,8571,2016-08-24,Alm. Salg
Møstvej 14,4,Sommerhus,59,1977,NA,579650,4500 Nykøbing Sj,9824,2016-08-24,Fam. Salg
Vesterled 34,8,Sommerhus,149,1965,-0.01,1365e3,4500 Nykøbing Sj,9161,2016-08-22,Alm. Salg
Birkevangen 14,4,Sommerhus,50,1938,0,18e5,4500 Nykøbing Sj,36e3,2016-08-19,Alm. Salg
