road_name,room_count,house_type,mt_sq,constr_year,discount,price,postal_code,price_mt_sq,date,sale_type
"Nimbusparken 1, st. 4",2,Lejlighed,88,2004,-0.02,3175e3,2000 Frederiksberg,36079,2016-07-16,Alm. Salg
"Bentzonsvej 6, 1. th",4,Lejlighed,70,1904,0,2895e3,2000 Frederiksberg,41357,2016-07-15,Alm. Salg
"C.F. Richs Vej 94, st. tv",2,Lejlighed,65,1936,0,1795e3,2000 Frederiksberg,27615,2016-07-15,Alm. Salg
"Holger Danskes Vej 42, 2. 16",2,Lejlighed,74,1976,NA,1212500,2000 Frederiksberg,16385,2016-07-15,Fam. Salg
"Borgmester Fischers Vej 5B, 5. 2",3,Lejlighed,83,2001,0,3095e3,2000 Frederiksberg,37289,2016-07-15,Alm. Salg
"Nordre Fasanvej 33A, 1. th",4,Lejlighed,107,1930,0.01,455e4,2000 Frederiksberg,42523,2016-07-14,Alm. Salg
"Finsensvej 79, 3. th",3,Lejlighed,80,1926,0.04,31e5,2000 Frederiksberg,38750,2016-07-14,Alm. Salg
"Nordre Fasanvej 18, 2. tv",3,Lejlighed,73,1901,NA,3145e3,2000 Frederiksberg,43082,2016-07-14,Alm. Salg
"C.F. Richs Vej 118, 2. th",3,Lejlighed,65,1937,0,2295e3,2000 Frederiksberg,35307,2016-07-13,Alm. Salg
"Duevej 112, 4. tv",2,Lejlighed,60,1917,0.03,2375e3,2000 Frederiksberg,39583,2016-07-13,Alm. Salg
"Nordre Fasanvej 112, 1. tv",2,Lejlighed,48,1897,-0.02,195e4,2000 Frederiksberg,40625,2016-07-13,Alm. Salg
"Ewaldsensvej 8, 3. tv",2,Lejlighed,64,1937,-0.03,1935e3,2000 Frederiksberg,30234,2016-07-13,Alm. Salg
"Rolfsvej 25, 2. th",3,Lejlighed,73,1891,-0.02,3515e3,2000 Frederiksberg,48150,2016-07-12,Alm. Salg
"Finsensvej 5A, 6. th",3,Lejlighed,83,1969,NA,3698e3,2000 Frederiksberg,44554,2016-07-12,Alm. Salg
"Duevej 50, 5. th",3,Lejlighed,69,1932,-0.04,26e5,2000 Frederiksberg,37681,2016-07-12,Alm. Salg
"Nimbusparken 11, st. tv",4,Lejlighed,162,1955,-0.08,61e5,2000 Frederiksberg,37654,2016-07-11,Alm. Salg
"Rådmand Steins Alle 23, 6. tv",1,Lejlighed,53,1953,0.07,1606e3,2000 Frederiksberg,30301,2016-07-11,Alm. Salg
"Rådmand Steins Alle 33, 6. 66",3,Lejlighed,92,1970,0,2795e3,2000 Frederiksberg,30380,2016-07-11,Alm. Salg
"Aksel Møllers Have 30, 2. mf",2,Lejlighed,72,1946,NA,1746e3,2000 Frederiksberg,24250,2016-07-11,Fam. Salg
"Munkensvej 11, st. tv",2,Lejlighed,65,1913,-0.05,2075e3,2000 Frederiksberg,31923,2016-07-10,Alm. Salg
"Kronprinsesse Sofies Vej 13, 1. tv",3,Lejlighed,86,1963,-0.03,29e5,2000 Frederiksberg,33720,2016-07-10,Alm. Salg
"Sprogøvej 17, 3. mf",3,Lejlighed,84,1982,-0.03,35e5,2000 Frederiksberg,41666,2016-07-08,Alm. Salg
"Duevej 108B, 1. tv",2,Lejlighed,62,1917,0.04,2395e3,2000 Frederiksberg,38629,2016-07-08,Alm. Salg
"Guldborgvej 25, 2. tv",4,Lejlighed,117,1932,-0.02,4595e3,2000 Frederiksberg,39273,2016-07-08,Alm. Salg
"Finsensvej 47B, 1. 107",2,Lejlighed,60,1961,-0.07,1645e3,2000 Frederiksberg,27416,2016-07-08,Alm. Salg
"Ved Andebakken 8, st. th",2,Lejlighed,59,1941,-0.01,247e4,2000 Frederiksberg,41864,2016-07-07,Alm. Salg
"Nordre Fasanvej 60, 3. 32",2,Lejlighed,62,1974,-0.04,22e5,2000 Frederiksberg,35483,2016-07-07,Alm. Salg
"Frederik VIs Alle 4, 3. th",4,Lejlighed,108,1905,-0.02,515e4,2000 Frederiksberg,47685,2016-07-07,Alm. Salg
"Bentzonsvej 52, 1. th",3,Lejlighed,66,1898,NA,16e5,2000 Frederiksberg,24242,2016-07-07,Fam. Salg
"Mathildevej 20, 3. tv",3,Lejlighed,87,1890,-0.01,415e4,2000 Frederiksberg,47701,2016-07-07,Alm. Salg
"Frederiksvej 48, 1. th",2,Lejlighed,54,1909,-0.01,247e4,2000 Frederiksberg,45740,2016-07-07,Alm. Salg
"Thurøvej 13, 2. th",3,Lejlighed,85,2016,NA,4436691,2000 Frederiksberg,52196,2016-07-07,Alm. Salg
"Tjørneskellet 2, 2",2,Lejlighed,62,1978,-0.05,1895e3,2000 Frederiksberg,30564,2016-07-06,Alm. Salg
"Aksel Møllers Have 24, 1. th",3,Lejlighed,91,1946,-0.04,37e5,2000 Frederiksberg,40659,2016-07-06,Alm. Salg
"Eversvej 11, 4. mf",1,Lejlighed,52,1981,0.01,191e4,2000 Frederiksberg,36730,2016-07-06,Alm. Salg
